"PT: Action Figure","actiefiguur"
"PT: Tank","Tanktop"
"PT: Tapestry","Wandtapijt"
"PT: Tea Cup + Saucer","Theekop + Schotel"
"PT: Tights","Panties"
"PT: Top","Topje"
"PT: Tote Bag","Schoudertas"
"PT: Towel","Handdoek"
"PT: Toy","Speelgoed"
"PT: Track Jacket","Trainingsjack"
"PT: Tracksuit","trainingspak"
"PT: Travel Bag","reistas"
"PT: Travel Mug","reisbeker"
"PT: Trinket Box","Make-Up Box"
"PT: Truck","Truch"
"PT: Umbrella","Paraplu"
"PT: Underwear","Ondergoed"
"PT: V Neck Girly","V-Hals Girly"
"PT: V Neck Longsleeve","V-Hals Longsleeve"
"PT: V Neck Pullover","V-Hals Pullover"
"PT: V Neck Sweater","V-Hals Sweater"
"PT: V Neck T-Shirt","V-Hals T-Shirt"
"PT: Vest","Bodywarmer"
"PT: Voucher","Cadeaubon"
"PT: Wall Shelf","Wandplank"
"PT: Wallet","Portemonnee"
"PT: Washing Glove","Washandje"
"PT: Watch","Horloge"
"PT: Wheels","wielen"
"PT: Wrapping Paper","cadeaupapier"
"PT: Wristband","Polsbandje"
"PT: Writing Set","Schrijfset"
"PT: Zipper","Vest"
"PT: iPod Classic Skin","iPod Classic Case"
